Geslacht;OpleidingNaam;OpleidingType;Instelling;Plaats;Lat;Lon;
m;Facility Management voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
v;Bedrijfskunde MER voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Facility Management voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;HBO-ICT Voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Automotive voltijd;ENG;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Informatica voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Automotive voltijd;ENG;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Logistiek en Economie voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;HBO-ICT Voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
v;Facility Management voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Bedrijfskunde MER voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;HBO-ICT Voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Automotive voltijd;ENG;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Automotive voltijd;ENG;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Logistiek en Economie voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;HBO-ICT Voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Bedrijfskunde MER voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Technische Bedrijfskunde voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Facility Management voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
v;Informatica voltijd;ICT;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
v;Industrieel Product Ontwerpen;ENG;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Technische Bedrijfskunde voltijd;ME;Hogeschool van Arnhem en Nijmegen;Arnhem;51,9851;5,8988;
m;Elektrotechniek;ENG;Avans Hogeschool;Breda;51,5719;4,7683;
m;Elektrotechniek;ENG;Avans Hogeschool;Breda;51,5719;4,7683;
m;Technische Bedrijfskunde;ME;Avans Hogeschool;Breda;51,5719;4,7683;
m;Elektrotechniek;ENG;Hogeschool Utrecht;Utrecht;52,0907;5,1214;
v;Business Innovation;ME;Avans Hogeschool;Breda;51,5719;4,7683;
v;HBO - ICT;ICT;Saxion;Enschede;52,2215;6,8937;
m;Chemische Technologie;ENG;Avans Hogeschool;Breda;51,5719;4,7683;
m;Business IT & Management;ICT;Avans Hogeschool;Breda;51,5719;4,7683;
m;Technische Bedrijfskunde;ME;NHL Hogeschool;Leeuwarden;53,2087;5,7576;